		Sample ID	Filename	File Size	Release	Haplotype	AWS FASTA	Biosample Accession	Family ID	FASTA MD5	FASTA SHA-256	Population Abbreviation	Population Descriptor
		HG00140	HG00140_hap2_hprc_r2_v1.0.1.fa.gz	904384100	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00140/assemblies/freeze_2/HG00140_hap2_hprc_r2_v1.0.1.fa.gz	SAMN33621941	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00140/assemblies/freeze_2/HG00140_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	GBR	British from England and Scotland
		HG00140	HG00140_hap1_hprc_r2_v1.0.1.fa.gz	866886495	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00140/assemblies/freeze_2/HG00140_hap1_hprc_r2_v1.0.1.fa.gz	SAMN33621941	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00140/assemblies/freeze_2/HG00140_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	GBR	British from England and Scotland
		HG00146	HG00146_hap2_hprc_r2_v1.0.1.fa.gz	907956985	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00146/assemblies/freeze_2/HG00146_hap2_hprc_r2_v1.0.1.fa.gz	SAMN41021634	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00146/assemblies/freeze_2/HG00146_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	GBR	British from England and Scotland
		HG00146	HG00146_hap1_hprc_r2_v1.0.1.fa.gz	897510902	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00146/assemblies/freeze_2/HG00146_hap1_hprc_r2_v1.0.1.fa.gz	SAMN41021634	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00146/assemblies/freeze_2/HG00146_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	GBR	British from England and Scotland
		HG002	HG002.maternal.f1_assembly_v2_genbank.fa.gz	878699260	1	maternal	s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/HG002.maternal.f1_assembly_v2_genbank.fa.gz	SAMN03283347	Unspecified	N/A	9e0b7ae6b0727a8828cef61c7b216eabdb2f098fcd2940fd1ffb8cca05185831	Unspecified	Unspecified
		HG002	hg002v1.1.mat_MT.PanSN.fa.gz	804179719	2	maternal	s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/Q100/pansn/hg002v1.1.mat_MT.PanSN.fa.gz	SAMN03283347	Unspecified	s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/Q100/pansn/hg002v1.1.mat_MT.PanSN.fa.gz.md5	N/A	Unspecified	Unspecified
		HG002	HG002.paternal.f1_assembly_v2_genbank.fa.gz	842839392	1	paternal	s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/HG002.paternal.f1_assembly_v2_genbank.fa.gz	SAMN03283347	Unspecified	N/A	ec46feb51b343f030aae3e7c4781463a36f059a031f4aacef864a9863d4fc986	Unspecified	Unspecified
		HG002	hg002v1.1.pat.PanSN.fa.gz	773659256	2	paternal	s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/Q100/pansn/hg002v1.1.pat.PanSN.fa.gz	SAMN03283347	Unspecified	s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/Q100/pansn/hg002v1.1.pat.PanSN.fa.gz.md5	N/A	Unspecified	Unspecified
		HG00232	HG00232_hap2_hprc_r2_v1.0.1.fa.gz	901429766	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00232/assemblies/freeze_2/HG00232_hap2_hprc_r2_v1.0.1.fa.gz	SAMN41021635	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00232/assemblies/freeze_2/HG00232_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	GBR	British from England and Scotland
		HG00232	HG00232_hap1_hprc_r2_v1.0.1.fa.gz	901614932	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00232/assemblies/freeze_2/HG00232_hap1_hprc_r2_v1.0.1.fa.gz	SAMN41021635	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00232/assemblies/freeze_2/HG00232_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	GBR	British from England and Scotland
		HG00235	HG00235_hap2_hprc_r2_v1.0.1.fa.gz	903252990	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00235/assemblies/freeze_2/HG00235_hap2_hprc_r2_v1.0.1.fa.gz	SAMN41021667	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00235/assemblies/freeze_2/HG00235_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	GBR	British from England and Scotland
		HG00235	HG00235_hap1_hprc_r2_v1.0.1.fa.gz	899913780	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00235/assemblies/freeze_2/HG00235_hap1_hprc_r2_v1.0.1.fa.gz	SAMN41021667	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00235/assemblies/freeze_2/HG00235_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	GBR	British from England and Scotland
		HG00253	HG00253_hap2_hprc_r2_v1.0.1.fa.gz	904545860	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00253/assemblies/freeze_2/HG00253_hap2_hprc_r2_v1.0.1.fa.gz	SAMN41021666	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00253/assemblies/freeze_2/HG00253_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	GBR	British from England and Scotland
		HG00253	HG00253_hap1_hprc_r2_v1.0.1.fa.gz	901283361	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00253/assemblies/freeze_2/HG00253_hap1_hprc_r2_v1.0.1.fa.gz	SAMN41021666	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00253/assemblies/freeze_2/HG00253_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	GBR	British from England and Scotland
		HG00272	HG00272_hap2_hprc_r2_v1.0.1.fa.gz	902352623	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00272/assemblies/freeze_2/HG00272_hap2_hprc_r2_v1.0.1.fa.gz	SAMN41021659	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00272/assemblies/freeze_2/HG00272_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00272	HG00272_hap1_hprc_r2_v1.0.1.fa.gz	903030499	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00272/assemblies/freeze_2/HG00272_hap1_hprc_r2_v1.0.1.fa.gz	SAMN41021659	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00272/assemblies/freeze_2/HG00272_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00280	HG00280_hap2_hprc_r2_v1.0.1.fa.gz	903207930	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00280/assemblies/freeze_2/HG00280_hap2_hprc_r2_v1.0.1.fa.gz	SAMN33758779	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00280/assemblies/freeze_2/HG00280_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00280	HG00280_hap1_hprc_r2_v1.0.1.fa.gz	866078197	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00280/assemblies/freeze_2/HG00280_hap1_hprc_r2_v1.0.1.fa.gz	SAMN33758779	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00280/assemblies/freeze_2/HG00280_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00290	HG00290_hap2_hprc_r2_v1.0.1.fa.gz	901136915	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00290/assemblies/freeze_2/HG00290_hap2_hprc_r2_v1.0.1.fa.gz	SAMN41021639	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00290/assemblies/freeze_2/HG00290_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00290	HG00290_hap1_hprc_r2_v1.0.1.fa.gz	866453650	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00290/assemblies/freeze_2/HG00290_hap1_hprc_r2_v1.0.1.fa.gz	SAMN41021639	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00290/assemblies/freeze_2/HG00290_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00320	HG00320_hap2_hprc_r2_v1.0.1.fa.gz	901822145	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00320/assemblies/freeze_2/HG00320_hap2_hprc_r2_v1.0.1.fa.gz	SAMN41021632	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00320/assemblies/freeze_2/HG00320_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00320	HG00320_hap1_hprc_r2_v1.0.1.fa.gz	903094842	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00320/assemblies/freeze_2/HG00320_hap1_hprc_r2_v1.0.1.fa.gz	SAMN41021632	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00320/assemblies/freeze_2/HG00320_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00321	HG00321_hap2_hprc_r2_v1.0.1.fa.gz	900637444	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00321/assemblies/freeze_2/HG00321_hap2_hprc_r2_v1.0.1.fa.gz	SAMN41021636	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00321/assemblies/freeze_2/HG00321_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00321	HG00321_hap1_hprc_r2_v1.0.1.fa.gz	870963885	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00321/assemblies/freeze_2/HG00321_hap1_hprc_r2_v1.0.1.fa.gz	SAMN41021636	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00321/assemblies/freeze_2/HG00321_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00323	HG00323_hap2_hprc_r2_v1.0.1.fa.gz	899668239	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00323/assemblies/freeze_2/HG00323_hap2_hprc_r2_v1.0.1.fa.gz	SAMN33621942	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00323/assemblies/freeze_2/HG00323_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00323	HG00323_hap1_hprc_r2_v1.0.1.fa.gz	902925470	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00323/assemblies/freeze_2/HG00323_hap1_hprc_r2_v1.0.1.fa.gz	SAMN33621942	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00323/assemblies/freeze_2/HG00323_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00329	HG00329_hap2_hprc_r2_v1.0.1.fa.gz	905004298	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00329/assemblies/freeze_2/HG00329_hap2_hprc_r2_v1.0.1.fa.gz	SAMN41021646	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00329/assemblies/freeze_2/HG00329_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00329	HG00329_hap1_hprc_r2_v1.0.1.fa.gz	865686929	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00329/assemblies/freeze_2/HG00329_hap1_hprc_r2_v1.0.1.fa.gz	SAMN41021646	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00329/assemblies/freeze_2/HG00329_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00344	HG00344_hap2_hprc_r2_v1.0.1.fa.gz	899393704	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00344/assemblies/freeze_2/HG00344_hap2_hprc_r2_v1.0.1.fa.gz	SAMN41021653	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00344/assemblies/freeze_2/HG00344_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00344	HG00344_hap1_hprc_r2_v1.0.1.fa.gz	905749750	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00344/assemblies/freeze_2/HG00344_hap1_hprc_r2_v1.0.1.fa.gz	SAMN41021653	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00344/assemblies/freeze_2/HG00344_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00350	HG00350_hap2_hprc_r2_v1.0.1.fa.gz	900519790	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00350/assemblies/freeze_2/HG00350_hap2_hprc_r2_v1.0.1.fa.gz	SAMN41021654	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00350/assemblies/freeze_2/HG00350_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00350	HG00350_hap1_hprc_r2_v1.0.1.fa.gz	900946071	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00350/assemblies/freeze_2/HG00350_hap1_hprc_r2_v1.0.1.fa.gz	SAMN41021654	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00350/assemblies/freeze_2/HG00350_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	FIN	Finnish in Finland
		HG00408	HG00408_mat_hprc_r2_v1.0.1.fa.gz	901176240	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/HG00408_mat_hprc_r2_v1.0.1.fa.gz	SAMN33621943	SH002	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/HG00408_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CHS	Han Chinese South, China
		HG00408	HG00408_pat_hprc_r2_v1.0.1.fa.gz	903223381	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/HG00408_pat_hprc_r2_v1.0.1.fa.gz	SAMN33621943	SH002	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/HG00408_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CHS	Han Chinese South, China
		HG00423	HG00423_mat_hprc_r2_v1.0.1.fa.gz	902270900	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00423/assemblies/freeze_2/HG00423_mat_hprc_r2_v1.0.1.fa.gz	SAMN26237490	SH007	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00423/assemblies/freeze_2/HG00423_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CHS	Han Chinese South, China
		HG00423	HG00423_pat_hprc_r2_v1.0.1.fa.gz	900442443	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00423/assemblies/freeze_2/HG00423_pat_hprc_r2_v1.0.1.fa.gz	SAMN26237490	SH007	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00423/assemblies/freeze_2/HG00423_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CHS	Han Chinese South, China
		HG00438	HG00438.maternal.f1_assembly_v2_genbank.fa.gz	875021829	1	maternal	s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/HG00438.maternal.f1_assembly_v2_genbank.fa.gz	SAMN17861652	SH012	N/A	ca307e58dfba48336dd3a05d0ea59b87e3383a5a8c839e5b7c6e7ab6178d58ea	CHS	Han Chinese South, China
		HG00438	HG00438_mat_hprc_r2_v1.0.1.fa.gz	900896352	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00438/assemblies/freeze_2/HG00438_mat_hprc_r2_v1.0.1.fa.gz	SAMN17861652	SH012	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00438/assemblies/freeze_2/HG00438_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CHS	Han Chinese South, China
		HG00438	HG00438.paternal.f1_assembly_v2_genbank.fa.gz	874256056	1	paternal	s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/HG00438.paternal.f1_assembly_v2_genbank.fa.gz	SAMN17861652	SH012	N/A	a5840157a6995c5fbc08698e52b614fbdf6f57a7245db944edb328a0b3e23ff8	CHS	Han Chinese South, China
